0; abcd; 0; 300; 400; 
0; {a}; 10000; 100; 0; 
0; {b}; 10000; 100; 0; 
0; ab; 10000; 0; 0; 
0; {c}; 10000; 100; 0; 
0; cd; 10000; 0; 0; 
0; {a,b,c,d}; 10000; 100; 0; 
0; {c,d}; 5000; 5000; 0; 
0; {a,b}; 5000; 5000; 0; 
0; {d}; 10000; 100; 0; 
0;payoff ; 4.0
1; ab; 9040; 0; 0; 
1; {a}; 10000; 100; 0; 
1; abcd; 0; 300; 400; 
1; {c,d}; 4540; 5000; 0; 
1; {b}; 10000; 100; 0; 
1; {a,b,c,d}; 10000; 100; 0; 
1; {c}; 10000; 100; 0; 
1; {a,b}; 5000; 4540; 0; 
1; cd; 9040; 0; 0; 
1; {d}; 10000; 100; 0; 
1;payoff ; 3.6
2; {d}; 10000; 100; 0; 
2; {c}; 10000; 100; 0; 
2; {a}; 9036; 100; 0; 
2; {a,b,c,d}; 10000; 100; 0; 
2; {c,d}; 4540; 4536; 0; 
2; {a,b}; 5000; 4540; 0; 
2; abcd; 0; 306; 400; 
2; cd; 8172; 0; 0; 
2; ab; 9040; 0; 0; 
2; {b}; 9036; 100; 0; 
2;payoff ; 0.4
3; {c}; 10000; 100; 0; 
3; {a}; 8136; 100; 0; 
3; {d}; 10000; 100; 0; 
3; cd; 7358; 0; 0; 
3; {b}; 8136; 100; 0; 
3; {a,b,c,d}; 10000; 100; 0; 
3; abcd; 0; 279; 400; 
3; {a,b}; 5000; 4540; 0; 
3; ab; 9040; 0; 0; 
3; {c,d}; 4090; 4536; 0; 
3;payoff ; 3.6
4; cd; 6658; 0; 0; 
4; {a,b,c,d}; 10000; 100; 0; 
4; {a,b}; 5000; 4540; 0; 
4; abcd; 0; 287; 400; 
4; {a}; 7358; 100; 0; 
4; {c,d}; 3717; 4536; 0; 
4; {d}; 10000; 100; 0; 
4; ab; 9040; 0; 0; 
4; {c}; 10000; 100; 0; 
4; {b}; 7358; 100; 0; 
4;payoff ; 4.0
5; {b}; 6662; 100; 0; 
5; {a,b}; 5000; 4540; 0; 
5; {a,b,c,d}; 10000; 100; 0; 
5; {c}; 10000; 100; 0; 
5; {c,d}; 3385; 4536; 0; 
5; {a}; 6662; 100; 0; 
5; ab; 9040; 0; 0; 
5; cd; 6033; 0; 0; 
5; abcd; 0; 298; 400; 
5; {d}; 10000; 100; 0; 
5;payoff ; 4.0
6; abcd; 0; 308; 400; 
6; {a,b}; 5000; 4540; 0; 
6; {c}; 10000; 100; 0; 
6; {a}; 6036; 100; 0; 
6; {c,d}; 3086; 4536; 0; 
6; cd; 5469; 0; 0; 
6; {d}; 10000; 100; 0; 
6; ab; 9040; 0; 0; 
6; {a,b,c,d}; 10000; 100; 0; 
6; {b}; 6036; 100; 0; 
6;payoff ; 4.0
7; {a,b,c,d}; 10000; 100; 0; 
7; ab; 9040; 0; 0; 
7; {c}; 10000; 100; 0; 
7; {c,d}; 3086; 4122; 0; 
